,title,handle,created,product_type,price,sku,available,image
44,Bradley Tan,bradley-tan,2020-02-28T11:50:09-06:00,Shoes,285.00,HBB305105,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-shoes-bradley-tan-15038715822142.jpg?v=1590594039
45,Bradley Tan,bradley-tan,2020-02-28T11:50:09-06:00,Shoes,285.00,HBB305105E,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-shoes-bradley-tan-15038715822142.jpg?v=1590594039
46,Bradley Tan,bradley-tan,2020-02-28T11:50:09-06:00,Shoes,285.00,HBB305011,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-shoes-bradley-tan-15038715822142.jpg?v=1590594039
47,Bradley Tan,bradley-tan,2020-02-28T11:50:09-06:00,Shoes,285.00,HBB305011E,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-shoes-bradley-tan-15038715822142.jpg?v=1590594039
48,Bradley Tan,bradley-tan,2020-02-28T11:50:09-06:00,Shoes,285.00,HBB305115,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-shoes-bradley-tan-15038715822142.jpg?v=1590594039
49,Bradley Tan,bradley-tan,2020-02-28T11:50:09-06:00,Shoes,285.00,HBB305115E,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-shoes-bradley-tan-15038715822142.jpg?v=1590594039
50,Bradley Tan,bradley-tan,2020-02-28T11:50:09-06:00,Shoes,285.00,HBB305012,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-shoes-bradley-tan-15038715822142.jpg?v=1590594039
51,Bradley Tan,bradley-tan,2020-02-28T11:50:09-06:00,Shoes,285.00,HBB305012E,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-shoes-bradley-tan-15038715822142.jpg?v=1590594039
52,Bradley Tan,bradley-tan,2020-02-28T11:50:09-06:00,Shoes,285.00,HBB305013,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-shoes-bradley-tan-15038715822142.jpg?v=1590594039
53,Bradley Tan,bradley-tan,2020-02-28T11:50:09-06:00,Shoes,285.00,HBB305013E,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-shoes-bradley-tan-15038715822142.jpg?v=1590594039
54,Bradley Tan,bradley-tan,2020-02-28T11:50:09-06:00,Shoes,285.00,HBB305014,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-shoes-bradley-tan-15038715822142.jpg?v=1590594039
55,Bradley Tan,bradley-tan,2020-02-28T11:50:09-06:00,Shoes,285.00,HBB305015,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-shoes-bradley-tan-15038715822142.jpg?v=1590594039
56,Bradley Tan,bradley-tan,2020-02-28T11:50:09-06:00,Shoes,285.00,HBB305016,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-shoes-bradley-tan-15038715822142.jpg?v=1590594039
57,HELM Tote Bag,helm-tote-bag,2020-05-11T13:19:10-05:00,Accessories,12.00,HELMTOTE_2020,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-accessories-helm-tote-bag-14838446293054.jpg?v=1589346156
58,HELM Boot Care Kit,helm-boot-care-kit,2016-12-21T13:17:11-06:00,Boot Care,65.00,HLMKIT_001,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-boot-care-helm-boot-care-kit-649602465810.jpg?v=1554737647
59,HELM Boot Care Kit,helm-boot-care-kit,2016-12-21T13:17:11-06:00,Boot Care,65.00,HLMKIT_002,False,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-boot-care-helm-boot-care-kit-649602465810.jpg?v=1554737647
60,HELM Boot Care Kit,helm-boot-care-kit,2016-12-21T13:17:11-06:00,Boot Care,65.00,HLMKIT_003,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-boot-care-helm-boot-care-kit-649602465810.jpg?v=1554737647
61,HELM Boot Care Kit,helm-boot-care-kit,2016-12-21T13:17:11-06:00,Boot Care,65.00,HLMKIT_004,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-boot-care-helm-boot-care-kit-649602465810.jpg?v=1554737647
62,Camp Collection by Shwood - Mesa Sunglasses,shwood-mesa-sunglasses,2019-08-30T14:57:01-05:00,Accessories,79.00,WCM7BGP,True,https://cdn.shopify.com/s/files/1/0048/2912/products/shwood-accessories-camp-collection-by-shwood-mesa-sunglasses-14600343486526.jpg?v=1587406363
63,Camp Collection by Shwood - Mesa Sunglasses,shwood-mesa-sunglasses,2019-08-30T14:57:01-05:00,Accessories,79.00,WCM7TGP,False,https://cdn.shopify.com/s/files/1/0048/2912/products/shwood-accessories-camp-collection-by-shwood-mesa-sunglasses-14600343486526.jpg?v=1587406363
